交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2020-08-10,al2010                        ,2485,1885,1885,251.0885,0,0.18133,18.133
2020-08-10,al2011                        ,80,34,34,8.5665,0,0.171343,17.1343
2020-08-10,al2012                        ,70,57,57,14.87,0,0.165342,16.5342
2020-08-10,al2101                        ,30,30,30,8.13,0,0.155703,15.5703
2020-08-11,al2010                        ,2305,2739,854,283.4705,0,0.182215,18.2215
2020-08-11,al2011                        ,185,197,163,25.2845,0,0.174026,17.4026
2020-08-11,al2012                        ,5,61,4,1.0965,0,0.212523,21.2523
2020-08-11,al2101                        ,11,41,11,1.3315,0,0.167438,16.7438
2020-08-12,al2010                        ,2006,3385,646,247.8495,0,0.185368,18.5368
2020-08-12,al2011                        ,13,200,3,0.528,0,0.198516,19.8516
2020-08-12,al2012                        ,2,63,2,0.202,0,0.165498,16.5498
2020-08-12,al2101                        ,14,54,13,1.6925,0,0.165019,16.5019
2020-08-13,al2012                        ,0,63,0,0.0,0,0.172995,17.2995
2020-08-13,al2101                        ,11,63,9,1.728,0,0.209105,20.9105
2020-08-13,al2011                        ,27,221,21,0.9735,0,0.172995,17.2995
2020-08-13,al2010                        ,2060,3991,606,270.6595,0,0.185249,18.5249
2020-08-14,al2010                        ,2788,4652,661,184.3585,0,0.176839,17.6839
2020-08-14,al2011                        ,20,240,19,1.1545,0,0.163643,16.3643
2020-08-14,al2012                        ,6,63,0,0.4785,0,0.151577,15.1577
2020-08-14,al2101                        ,24,66,3,2.9155,0,0.155946,15.5946
2020-08-17,al2010                        ,1400,4700,48,96.5815,0,0.174056,17.4056
2020-08-17,al2011                        ,12,252,12,0.848,0,0.179023,17.9023
2020-08-17,al2012                        ,0,63,0,0.0,0,0.179023,17.9023
2020-08-17,al2101                        ,0,66,0,0.0,0,0.179023,17.9023
2020-08-18,al2010                        ,1045,4941,241,127.3965,0,0.176963,17.6963
2020-08-18,al2011                        ,169,351,99,9.6465,0,0.158499,15.8499
2020-08-18,al2012                        ,0,63,0,0.0,0,0.158499,15.8499
2020-08-18,al2101                        ,0,66,0,0.0,0,0.158499,15.8499
2020-08-19,al2012                        ,0,63,0,0.0,0,0.176115,17.6115
2020-08-19,al2101                        ,0,66,0,0.0,0,0.176115,17.6115
2020-08-19,al2011                        ,98,435,84,3.4225,0,0.176115,17.6115
2020-08-19,al2010                        ,2179,5717,776,405.6925,0,0.173558,17.3558
2020-08-20,al2010                        ,3487,6814,1097,222.9585,0,0.185831,18.5831
2020-08-20,al2011                        ,498,606,171,48.1,0,0.164498,16.4498
2020-08-20,al2012                        ,1,64,1,0.1715,0,0.159391,15.9391
2020-08-20,al2101                        ,0,66,0,0.0,0,0.159391,15.9391
2020-08-21,al2010                        ,2864,7197,383,237.3635,0,0.189231,18.9231
2020-08-21,al2011                        ,392,636,30,36.508,0,0.161432,16.1432
2020-08-21,al2012                        ,1,65,1,0.6475,0,0.473953,47.3953
2020-08-21,al2101                        ,0,66,0,0.0,0,0.473953,47.3953
2020-08-24,al2011                        ,605,762,126,46.4465,0,0.167497,16.7497
2020-08-24,al2012                        ,0,65,0,0.0,0,0.167497,16.7497
2020-08-24,al2101                        ,0,66,0,0.0,0,0.167497,16.7497
2020-08-24,al2010                        ,2143,7418,221,149.3175,0,0.190166,19.0166
2020-08-25,al2012                        ,0,65,0,0.0,0,0.157937,15.7937
2020-08-25,al2101                        ,0,66,0,0.0,0,0.157937,15.7937
2020-08-25,al2011                        ,343,912,150,24.8395,0,0.157937,15.7937
2020-08-25,al2010                        ,1557,7542,124,81.5975,0,0.167816,16.7816
2020-08-26,al2010                        ,1207,7938,396,71.5295,0,0.172596,17.2596
2020-08-26,al2011                        ,168,906,-6,5.809,0,0.153936,15.3936
2020-08-26,al2012                        ,1,66,1,0.0175,0,0.192749,19.2749
2020-08-26,al2101                        ,0,66,0,0.0,0,0.192749,19.2749
2020-08-27,al2010                        ,2008,8373,435,135.3745,0,0.17804,17.804
2020-08-27,al2011                        ,292,906,0,12.1665,0,0.150241,15.0241
2020-08-27,al2012                        ,0,66,0,0.0,0,0.150241,15.0241
2020-08-27,al2101                        ,0,66,0,0.0,0,0.150241,15.0241
2020-08-28,al2012                        ,0,66,0,0.0,0,0.150543,15.0543
2020-08-28,al2101                        ,0,66,0,0.0,0,0.150543,15.0543
2020-08-28,al2011                        ,216,949,43,10.682,0,0.150543,15.0543
2020-08-28,al2010                        ,1685,8421,48,59.9945,0,0.16132,16.132
2020-08-31,al2010                        ,2274,8464,43,142.3885,0,0.170415,17.0415
2020-08-31,al2011                        ,321,1089,140,9.9085,0,0.156461,15.6461
2020-08-31,al2012                        ,0,66,0,0.0,0,0.156461,15.6461
2020-08-31,al2101                        ,0,66,0,0.0,0,0.156461,15.6461
2020-09-01,al2010                        ,2295,8559,95,190.5125,0,0.167877,16.7877
2020-09-01,al2011                        ,167,1136,47,7.8295,0,0.160493,16.0493
2020-09-01,al2012                        ,0,66,0,0.0,0,0.160493,16.0493
2020-09-01,al2101                        ,0,66,0,0.0,0,0.160493,16.0493
2020-09-02,al2010                        ,3273,8639,80,289.2865,0,0.165848,16.5848
2020-09-02,al2011                        ,306,1233,97,23.1675,0,0.151945,15.1945
2020-09-02,al2012                        ,3,67,1,0.7375,0,0.230109,23.0109
2020-09-02,al2101                        ,0,66,0,0.0,0,0.230109,23.0109
2020-09-03,al2012                        ,0,67,0,0.0,0,0.150414,15.0414
2020-09-03,al2101                        ,34,100,34,7.8195,0,0.172098,17.2098
2020-09-03,al2011                        ,760,1470,237,82.034,0,0.150414,15.0414
2020-09-03,al2010                        ,3432,8987,348,271.6305,0,0.165497,16.5497
2020-09-04,al2010                        ,3912,9252,265,274.614,0,0.164335,16.4335
2020-09-04,al2011                        ,958,1916,446,91.4055,0,0.149917,14.9917
2020-09-04,al2012                        ,0,67,0,0.0,0,0.149917,14.9917
2020-09-04,al2101                        ,14,114,14,0.4575,0,0.175428,17.5428
2020-09-07,al2010                        ,4063,9668,416,211.1835,0,0.187872,18.7872
2020-09-07,al2011                        ,500,2077,161,66.6945,0,0.147813,14.7813
