交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2018-09-21,cu1901                        ,31468,4152,4152,26598.916,,0.178258,17.8258
2018-09-21,cu1902                        ,668,498,498,507.047,,0.165206,16.5206
2018-09-21,cu1903                        ,736,506,506,777.286,,0.167456,16.7456
2018-09-21,cu1904                        ,716,410,410,856.752,,0.165715,16.5715
2018-09-21,cu1905                        ,616,424,424,739.889,,0.164283,16.4283
2018-09-21,cu1906                        ,1192,578,578,1607.225,,0.162958,16.2958
2018-09-21,cu1907                        ,1106,728,728,1661.887,,0.165013,16.5013
2018-09-21,cu1908                        ,886,450,450,1310.129,,0.165375,16.5375
2018-09-21,cu1909                        ,946,510,510,1498.405,,0.16445,16.445
2018-09-25,cu1909                        ,772,1020,510,1466.845,,0.170014,17.0014
2018-09-25,cu1908                        ,256,524,74,378.023,,0.169254,16.9254
2018-09-25,cu1903                        ,406,668,162,444.41,,0.171147,17.1147
2018-09-25,cu1905                        ,166,482,58,270.325,,0.169777,16.9777
2018-09-25,cu1907                        ,166,786,58,241.821,,0.16873,16.873
2018-09-25,cu1906                        ,356,608,30,537.025,,0.168531,16.8531
2018-09-25,cu1902                        ,1682,1080,582,1764.66,,0.173418,17.3418
2018-09-25,cu1901                        ,9588,6668,2516,9246.378,,0.18026,18.026
2018-09-25,cu1904                        ,210,496,86,312.672,,0.169273,16.9273
2018-09-26,cu1901                        ,14510,7710,1042,15408.181,,0.182085,18.2085
2018-09-26,cu1902                        ,1978,1592,512,1704.018,,0.175968,17.5968
2018-09-26,cu1903                        ,450,820,152,508.422,,0.175476,17.5476
2018-09-26,cu1904                        ,330,624,128,446.416,,0.17342,17.342
2018-09-26,cu1905                        ,270,608,126,375.393,,0.173738,17.3738
2018-09-26,cu1906                        ,292,742,134,468.146,,0.171453,17.1453
2018-09-26,cu1907                        ,316,904,118,550.327,,0.171653,17.1653
2018-09-26,cu1908                        ,252,632,108,444.836,,0.171805,17.1805
2018-09-26,cu1909                        ,404,1066,46,656.285,,0.172486,17.2486
2018-09-27,cu1907                        ,184,960,56,308.685,,0.17055,17.055
2018-09-27,cu1909                        ,276,1138,72,460.342,,0.171361,17.1361
2018-09-27,cu1908                        ,302,758,126,489.834,,0.17189,17.189
2018-09-27,cu1904                        ,216,748,124,288.966,,0.171021,17.1021
2018-09-27,cu1902                        ,1128,1680,88,1051.494,,0.176157,17.6157
2018-09-27,cu1906                        ,160,832,90,238.123,,0.171297,17.1297
2018-09-27,cu1903                        ,326,992,172,465.541,,0.174438,17.4438
2018-09-27,cu1905                        ,406,872,264,534.341,,0.171103,17.1103
2018-09-27,cu1901                        ,19806,9224,1514,17126.949,,0.179339,17.9339
2018-09-28,cu1901                        ,18610,10916,1692,18680.241,,0.172646,17.2646
2018-09-28,cu1902                        ,538,1718,38,502.702,,0.170441,17.0441
2018-09-28,cu1903                        ,552,1208,216,539.025,,0.167977,16.7977
