交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2025-09-10,fu2602,88,88,88,8.473,0,0.254748,25.4748
2025-09-10,fu2601,2285,1768,1768,221.3185,0,0.26264,26.264
2025-09-10,小计,2373,1856,1856,229.7915,0,,
2025-09-11,fu2601,3642,3387,1619,324.467,0,0.26345,26.345
2025-09-11,fu2602,490,510,422,32.748,0,0.265305,26.5305
2025-09-11,小计,4132,3897,2041,357.215,0,,
2025-09-12,fu2601,11863,7613,4226,981.383,0,0.260251,26.0251
2025-09-12,fu2602,1691,1179,669,174.625,0,0.261457,26.1457
2025-09-12,小计,13554,8792,4895,1156.008,0,,
2025-09-15,fu2602,606,1269,90,40.8935,0,0.268233,26.8233
2025-09-15,fu2601,9360,7824,211,804.2385,0,0.262436,26.2436
2025-09-15,小计,9966,9093,301,845.132,0,,
2025-09-16,fu2601,8616,10075,2251,842.102,0,0.268501,26.8501
2025-09-16,小计,9051,11676,2583,877.9115,0,,
2025-09-16,fu2602,435,1601,332,35.8095,0,0.279834,27.9834
2025-09-17,fu2601,13243,13325,3250,1124.914,0,0.273937,27.3937
2025-09-17,fu2602,1242,1494,-107,125.502,0,0.272078,27.2078
2025-09-17,小计,14485,14819,3143,1250.416,0,,
2025-09-18,fu2601,10856,13510,185,849.969,0,0.270539,27.0539
2025-09-18,fu2602,3315,2134,640,290.1205,0,0.270318,27.0318
2025-09-18,小计,14171,15644,825,1140.0895,0,,
2025-09-19,小计,26596,17613,1969,2018.8915,0,,
2025-09-19,fu2601,25643,15273,1763,1935.577,0,0.274016,27.4016
2025-09-19,fu2602,953,2340,206,83.3145,0,0.281595,28.1595
2025-09-22,小计,5965,17574,-39,394.1455,0,,
2025-09-22,fu2602,420,2399,59,42.9925,0,0.268149,26.8149
2025-09-22,fu2601,5545,15175,-98,351.153,0,0.275375,27.5375
2025-09-23,fu2601,19843,15620,445,1503.9105,0,0.275112,27.5112
2025-09-23,小计,20028,18086,512,1514.655,0,,
2025-09-23,fu2602,185,2466,67,10.7445,0,0.290295,29.0295
2025-09-24,fu2602,2244,2850,384,215.317,0,0.277277,27.7277
2025-09-24,fu2601,32026,17204,1584,3094.373,0,0.290084,29.0084
2025-09-24,小计,34270,20054,1968,3309.69,0,,
2025-09-25,fu2601,7029,16935,-269,681.4885,0,0.283427,28.3427
2025-09-25,fu2602,489,2789,-61,26.3085,0,0.283754,28.3754
2025-09-25,小计,7518,19724,-330,707.797,0,,
2025-09-26,fu2601,23534,17872,937,2088.6045,0,0.288505,28.8505
2025-09-26,小计,25199,20803,1079,2232.8975,0,,
