交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2019-12-20,au2004                        ,7144,3046,3046,3881.912,,0.133548,13.3548
2019-12-20,au2006                        ,4274,2348,2348,3229.296,,0.127234,12.7234
2019-12-20,au2008                        ,692,394,394,515.532,,0.121575,12.1575
2019-12-20,au2010                        ,150,96,96,132.988,,0.120241,12.0241
2019-12-20,au2012                        ,462,272,272,374.304,,0.119208,11.9208
2019-12-23,au2004                        ,5956,4904,1858,3331.012,,0.147434,14.7434
2019-12-23,au2006                        ,3436,3200,852,3237.484,,0.140782,14.0782
2019-12-23,au2008                        ,1194,688,294,1191.636,,0.137517,13.7517
2019-12-23,au2010                        ,258,224,128,363.896,,0.131145,13.1145
2019-12-23,au2012                        ,978,1014,742,1126.7,,0.139986,13.9986
2019-12-24,au2004                        ,5340,5856,952,3792.704,,0.155633,15.5633
2019-12-24,au2006                        ,4234,4398,1198,4869.08,,0.152803,15.2803
2019-12-24,au2008                        ,734,804,116,837.38,,0.142513,14.2513
2019-12-24,au2010                        ,124,306,82,121.488,,0.141541,14.1541
2019-12-24,au2012                        ,368,1270,256,487.596,,0.145137,14.5137
2019-12-25,au2004                        ,6182,7512,1656,3969.832,,0.164904,16.4904
2019-12-25,au2006                        ,2942,4934,536,3064.132,,0.158822,15.8822
2019-12-25,au2008                        ,548,932,128,748.096,,0.14352,14.352
2019-12-25,au2010                        ,28,314,8,24.364,,0.131714,13.1714
2019-12-25,au2012                        ,408,1408,138,680.256,,0.144155,14.4155
2019-12-26,au2004                        ,5100,8098,586,2872.648,,0.161428,16.1428
2019-12-26,au2006                        ,2488,5320,386,2676.5,,0.152797,15.2797
2019-12-26,au2008                        ,332,1018,86,539.444,,0.139275,13.9275
2019-12-26,au2010                        ,6,316,2,10.532,,0.145577,14.5577
2019-12-26,au2012                        ,88,1452,44,116.1,,0.157661,15.7661
2019-12-27,au2004                        ,5978,9080,982,3399.776,,0.149502,14.9502
2019-12-27,au2006                        ,4238,5552,232,4029.66,,0.145411,14.5411
2019-12-27,au2008                        ,1054,1146,128,1001.392,,0.136242,13.6242
2019-12-27,au2010                        ,302,356,40,461.864,,0.139947,13.9947
2019-12-27,au2012                        ,236,1500,48,308.744,,0.141692,14.1692
2019-12-30,au2004                        ,4026,9964,884,2213.456,,0.148861,14.8861
2019-12-30,au2006                        ,3090,5604,52,2829.18,,0.141566,14.1566
2019-12-30,au2008                        ,682,1228,82,858.736,,0.128893,12.8893
2019-12-30,au2010                        ,12,358,2,19.064,,0.152364,15.2364
2019-12-30,au2012                        ,108,1554,54,148.24,,0.146323,14.6323
2019-12-31,au2012                        ,20,1560,6,31.24,,0.149411,14.9411
2019-12-31,au2006                        ,2820,6234,630,2740.864,,0.140834,14.0834
2019-12-31,au2004                        ,4762,10614,650,2228.34,,0.14922,14.922
2019-12-31,au2010                        ,0,358,0,0.0,,0.137912,13.7912
2019-12-31,au2008                        ,1058,1292,64,1597.812,,0.137912,13.7912
2020-01-02,au2004                        ,841,5333,26,443.672,,0.148241,14.8241
2020-01-02,au2006                        ,392,3161,44,349.51,,0.145659,14.5659
2020-01-02,au2008                        ,147,662,16,185.528,,0.133533,13.3533
2020-01-02,au2010                        ,0,179,0,0.0,,0.133533,13.3533
2020-01-02,au2012                        ,43,777,-3,52.182,,0.135388,13.5388
2020-01-03,au2004                        ,3400,5541,208,2851.944,,0.149309,14.9309
2020-01-03,au2006                        ,2712,3665,504,2933.894,,0.14109,14.109
2020-01-03,au2008                        ,772,803,141,1024.742,,0.137294,13.7294
2020-01-03,au2010                        ,5,181,2,7.65,,0.138986,13.8986
2020-01-03,au2012                        ,26,789,12,26.576,,0.132427,13.2427
2020-01-06,au2004                        ,4385,5677,136,3513.768,,0.151993,15.1993
2020-01-06,au2008                        ,965,1004,201,1326.376,,0.136746,13.6746
2020-01-06,au2012                        ,29,792,3,54.088,,0.149222,14.9222
2020-01-06,au2010                        ,5,184,3,4.102,,0.122459,12.2459
2020-01-06,au2006                        ,3255,3897,232,3378.076,,0.14107,14.107
2020-01-07,au2004                        ,4591,6147,470,3493.32,,0.162328,16.2328
2020-01-07,au2006                        ,3636,4395,498,3950.45,,0.160349,16.0349
2020-01-07,au2008                        ,1131,1207,203,1119.926,,0.149382,14.9382
2020-01-07,au2010                        ,29,189,5,6.332,,0.126133,12.6133
2020-01-07,au2012                        ,153,852,60,188.334,,0.134723,13.4723
2020-01-08,au2006                        ,5782,5376,981,5637.538,,0.172025,17.2025
2020-01-08,au2004                        ,5602,6114,-33,5292.524,,0.183179,18.3179
2020-01-08,au2008                        ,2854,1825,618,2199.326,,0.156742,15.6742
2020-01-08,au2012                        ,201,939,87,216.036,,0.143125,14.3125
2020-01-08,au2010                        ,244,320,131,169.198,,0.14143,14.143
2020-01-09,au2004                        ,4918,6100,-14,3652.108,,0.172238,17.2238
2020-01-09,au2006                        ,4476,5913,537,4993.226,,0.171116,17.1116
2020-01-09,au2008                        ,1446,1863,38,1945.742,,0.167876,16.7876
2020-01-09,au2010                        ,66,313,-7,37.862,,0.146516,14.6516
2020-01-09,au2012                        ,72,921,-18,61.426,,0.13886,13.886
2020-01-10,au2004                        ,2634,6175,75,1373.398,,0.17153,17.153
2020-01-10,au2006                        ,2848,6295,382,3087.274,,0.170136,17.0136
2020-01-10,au2008                        ,671,1946,83,856.61,,0.164026,16.4026
2020-01-10,au2010                        ,33,329,16,10.186,,0.137275,13.7275
2020-01-10,au2012                        ,16,917,-4,24.726,,0.136194,13.6194
2020-01-13,au2004                        ,2072,6142,-33,1467.534,,0.174531,17.4531
2020-01-13,au2006                        ,1759,6475,180,1951.734,,0.17031,17.031
2020-01-13,au2008                        ,387,1950,4,510.894,,0.164138,16.4138
2020-01-13,au2010                        ,31,343,14,12.968,,0.146832,14.6832
