交易日期,合约系列,隐含波动率,隐含波动率(%),varietyId
2023-07-24,lc2401,33.900403,33.9004,
2023-07-24,lc2402,32.768446,32.7684,
2023-07-24,lc2403,33.652367,33.6524,
2023-07-24,lc2404,33.002498,33.0025,
2023-07-24,lc2405,33.727806,33.7278,
2023-07-24,lc2406,33.727806,33.7278,
2023-07-24,lc2407,37.267007,37.267,
2023-07-25,lc2407,34.651876,34.6519,
2023-07-25,lc2406,33.351356,33.3514,
2023-07-25,lc2404,34.401529,34.4015,
2023-07-25,lc2405,33.352348,33.3523,
2023-07-25,lc2402,36.466174,36.4662,
2023-07-25,lc2401,34.922818,34.9228,
2023-07-25,lc2403,36.502855,36.5029,
2023-07-26,lc2401,37.566098,37.5661,
2023-07-26,lc2402,38.129493,38.1295,
2023-07-26,lc2403,36.953024,36.953,
2023-07-26,lc2404,34.857007,34.857,
2023-07-26,lc2405,35.666506,35.6665,
2023-07-26,lc2406,36.109851,36.1099,
2023-07-26,lc2407,35.661322,35.6613,
2023-07-27,lc2406,34.705845,34.7058,
2023-07-27,lc2402,37.28816,37.2882,
2023-07-27,lc2403,46.755913,46.7559,
2023-07-27,lc2404,46.755913,46.7559,
2023-07-27,lc2405,46.755913,46.7559,
2023-07-27,lc2401,37.298723,37.2987,
2023-07-27,lc2407,34.705845,34.7058,
2023-07-28,lc2401,36.404047,36.404,
2023-07-28,lc2402,35.595502,35.5955,
2023-07-28,lc2403,36.63327,36.6333,
2023-07-28,lc2404,36.63327,36.6333,
2023-07-28,lc2405,35.784058,35.7841,
2023-07-28,lc2406,35.784058,35.7841,
2023-07-28,lc2407,35.146279,35.1463,
2023-07-31,lc2404,35.812564,35.8126,
2023-07-31,lc2407,36.986645,36.9866,
2023-07-31,lc2406,36.986645,36.9866,
2023-07-31,lc2405,36.986645,36.9866,
2023-07-31,lc2402,35.812564,35.8126,
2023-07-31,lc2401,36.017678,36.0177,
2023-07-31,lc2403,35.812564,35.8126,
2023-08-01,lc2404,34.768045,34.768,
2023-08-01,lc2405,34.417172,34.4172,
2023-08-01,lc2406,34.417172,34.4172,
2023-08-01,lc2401,35.064,35.064,
2023-08-01,lc2402,34.768045,34.768,
2023-08-01,lc2403,34.768045,34.768,
2023-08-01,lc2407,34.417172,34.4172,
2023-08-02,lc2407,33.145688,33.1457,
2023-08-02,lc2406,33.145688,33.1457,
2023-08-02,lc2403,33.541678,33.5417,
2023-08-02,lc2404,33.541678,33.5417,
2023-08-02,lc2405,33.541678,33.5417,
2023-08-02,lc2401,32.456167,32.4562,
2023-08-02,lc2402,32.606614,32.6066,
2023-08-03,lc2401,31.303914,31.3039,
2023-08-03,lc2402,31.089633,31.0896,
2023-08-03,lc2403,31.089633,31.0896,
2023-08-03,lc2404,31.089633,31.0896,
2023-08-03,lc2405,31.154357,31.1544,
2023-08-03,lc2406,31.154357,31.1544,
2023-08-03,lc2407,31.154357,31.1544,
2023-08-04,lc2407,29.046662,29.0467,
2023-08-04,lc2406,29.046662,29.0467,
2023-08-04,lc2405,31.218018,31.218,
2023-08-04,lc2404,31.218018,31.218,
2023-08-04,lc2403,33.173162,33.1732,
2023-08-04,lc2402,30.535685,30.5357,
2023-08-04,lc2401,30.221785,30.2218,
2023-08-07,lc2401,30.194273,30.1943,
2023-08-07,lc2402,29.859345,29.8593,
2023-08-07,lc2403,29.859345,29.8593,
2023-08-07,lc2404,32.156075,32.1561,
2023-08-07,lc2405,32.156075,32.1561,
2023-08-07,lc2406,29.097639,29.0976,
2023-08-07,lc2407,28.309373,28.3094,
2023-08-08,lc2405,29.871883,29.8719,
2023-08-08,lc2407,28.484387,28.4844,
2023-08-08,lc2406,22.039621,22.0396,
2023-08-08,lc2404,30.157599,30.1576,
2023-08-08,lc2401,30.356606,30.3566,
2023-08-08,lc2403,31.692307,31.6923,
2023-08-08,lc2402,31.692307,31.6923,
2023-08-09,lc2407,28.373018,28.373,
2023-08-09,lc2401,29.028672,29.0287,
2023-08-09,lc2402,30.318861,30.3189,
2023-08-09,lc2403,29.654062,29.6541,
2023-08-09,lc2404,29.654062,29.6541,
2023-08-09,lc2405,29.654062,29.6541,
2023-08-09,lc2406,28.373018,28.373,
2023-08-10,lc2407,29.034488,29.0345,
2023-08-10,lc2406,29.034488,29.0345,
2023-08-10,lc2405,29.635641,29.6356,
2023-08-10,lc2403,29.635641,29.6356,
2023-08-10,lc2402,32.282532,32.2825,
2023-08-10,lc2401,29.089751,29.0898,
