交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2024-09-02,pb2412,1057,712,712,145.297,0,0.18594,18.594
2024-09-02,pb2501,274,209,209,54.242,0,0.182961,18.2961
2024-09-02,小计,1331,921,921,199.539,0,,
2024-09-03,pb2412,1552,1457,745,207.9435,0,0.174768,17.4768
2024-09-03,pb2501,200,346,137,30.1745,0,0.180824,18.0824
2024-09-03,小计,1752,1803,882,238.118,0,,
2024-09-04,pb2412,1205,1797,340,117.5435,0,0.19787,19.787
2024-09-04,pb2501,117,401,55,14.2155,0,0.191238,19.1238
2024-09-04,小计,1322,2198,395,131.759,0,,
2024-09-05,pb2412,1868,2239,442,321.4705,0,0.190159,19.0159
2024-09-05,pb2501,452,582,181,101.981,0,0.18482,18.482
2024-09-05,小计,2320,2821,623,423.4515,0,,
2024-09-06,pb2412,1192,2265,26,181.2815,0,0.199853,19.9853
2024-09-06,pb2501,234,716,134,37.815,0,0.189788,18.9788
2024-09-06,小计,1426,2981,160,219.0965,0,,
2024-09-09,pb2412,2240,2483,218,391.8175,0,0.200865,20.0865
2024-09-09,pb2501,288,763,47,68.774,0,0.191618,19.1618
2024-09-09,小计,2528,3246,265,460.5915,0,,
2024-09-10,pb2412,2185,2566,83,392.077,0,0.202722,20.2722
2024-09-10,pb2501,346,856,93,98.2405,0,0.195495,19.5495
2024-09-10,小计,2531,3422,176,490.3175,0,,
2024-09-11,pb2412,2239,3065,499,327.9515,0,0.191981,19.1981
2024-09-11,pb2501,322,942,86,102.582,0,0.189283,18.9283
2024-09-11,小计,2561,4007,585,430.5335,0,,
2024-09-12,pb2412,960,3094,29,138.412,0,0.18864,18.864
2024-09-12,pb2501,87,966,24,23.2955,0,0.189824,18.9824
2024-09-12,小计,1047,4060,53,161.7075,0,,
2024-09-13,pb2412,1089,3304,210,129.0375,0,0.17667,17.667
2024-09-13,pb2501,43,975,9,5.691,0,0.187213,18.7213
2024-09-13,小计,1132,4279,219,134.7285,0,,
2024-09-18,pb2412,1230,3275,-29,333.3275,0,0.18537,18.537
2024-09-18,pb2501,211,1030,55,29.175,0,0.189099,18.9099
2024-09-18,小计,1441,4305,26,362.5025,0,,
2024-09-19,pb2412,1433,3367,92,365.444,0,0.188577,18.8577
2024-09-19,pb2501,244,1026,-4,74.977,0,0.185614,18.5614
2024-09-19,小计,1677,4393,88,440.421,0,,
2024-09-20,pb2412,1048,3633,266,181.7245,0,0.184785,18.4785
2024-09-20,pb2501,131,1044,18,34.857,0,0.184486,18.4486
2024-09-20,小计,1179,4677,284,216.5815,0,,
2024-09-23,pb2412,1472,3805,172,159.0365,0,0.18827,18.827
2024-09-23,pb2501,228,1057,13,55.0905,0,0.190377,19.0377
2024-09-23,小计,1700,4862,185,214.127,0,,
2024-09-24,pb2412,2058,3962,157,208.112,0,0.190114,19.0114
2024-09-24,pb2501,468,1244,187,61.2295,0,0.196586,19.6586
2024-09-24,小计,2526,5206,344,269.3415,0,,
2024-09-25,pb2412,1276,4154,192,125.0945,0,0.194089,19.4089
2024-09-25,pb2501,431,1360,116,54.919,0,0.200195,20.0195
2024-09-25,小计,1707,5514,308,180.0135,0,,
2024-09-26,pb2412,2156,3555,-599,280.227,0,0.190418,19.0418
2024-09-26,pb2501,822,1015,-345,204.683,0,0.20225,20.225
