交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2024/9/2,ni2412,1817,930,930,454.1178,0,0.240816,24.0816
2024/9/2,ni2501,461,337,337,129.36,0,0.226635,22.6635
2024/9/2,小计,2278,1267,1267,583.4778,0,,
2024/9/3,ni2412,1981,1469,539,448.2896,0,0.231632,23.1632
2024/9/3,ni2501,337,530,193,52.8464,0,0.227153,22.7153
2024/9/3,小计,2318,1999,732,501.136,0,,
2024/9/4,ni2412,2817,1986,517,579.3874,0,0.237856,23.7856
2024/9/4,ni2501,710,806,276,181.8958,0,0.22747,22.747
2024/9/4,小计,3527,2792,793,761.2832,0,,
2024/9/5,ni2412,2952,2640,654,625.1594,1,0.240669,24.0669
2024/9/5,ni2501,1019,1157,351,351.3508,0,0.230851,23.0851
2024/9/5,小计,3971,3797,1005,976.5102,1,,
2024/9/6,ni2412,3146,3313,673,974.351,0,0.228681,22.8681
2024/9/6,ni2501,1055,1429,272,291.2026,0,0.233525,23.3525
2024/9/6,小计,4201,4742,945,1265.5536,0,,
2024/9/9,ni2412,3613,4139,826,908.7352,0,0.244343,24.4343
2024/9/9,ni2501,817,1650,221,210.6114,0,0.241811,24.1811
2024/9/9,小计,4430,5789,1047,1119.3466,0,,
2024/9/10,ni2412,4242,4185,46,1017.0352,0,0.239571,23.9571
2024/9/10,ni2501,1741,1883,233,424.725,0,0.241743,24.1743
2024/9/10,小计,5983,6068,279,1441.7602,0,,
2024/9/11,ni2412,4534,4494,309,1111.3148,0,0.249006,24.9006
2024/9/11,ni2501,974,1973,90,284.7886,0,0.253214,25.3214
2024/9/11,小计,5508,6467,399,1396.1034,0,,
2024/9/12,ni2412,4236,4712,218,1091.0702,0,0.247409,24.7409
2024/9/12,ni2501,955,2125,152,204.3778,0,0.250522,25.0522
2024/9/12,小计,5191,6837,370,1295.448,0,,
2024/9/13,ni2412,2522,5060,348,522.578,0,0.25011,25.011
2024/9/13,ni2501,310,2165,40,76.2242,0,0.250386,25.0386
2024/9/13,小计,2832,7225,388,598.8022,0,,
2024/9/18,ni2412,2368,5352,292,467.535,0,0.249842,24.9842
2024/9/18,ni2501,518,2242,77,148.985,0,0.245637,24.5637
2024/9/18,小计,2886,7594,369,616.52,0,,
2024/9/19,ni2412,2876,5853,501,606.4132,0,0.246147,24.6147
2024/9/19,ni2501,462,2292,50,73.5816,0,0.249153,24.9153
2024/9/19,小计,3338,8145,551,679.9948,0,,
2024/9/20,ni2412,2252,6029,176,399.8912,0,0.24949,24.949
2024/9/20,ni2501,208,2317,25,56.3548,0,0.245603,24.5603
2024/9/20,小计,2460,8346,201,456.246,0,,
2024/9/23,ni2412,1471,6133,104,354.451,0,0.244161,24.4161
2024/9/23,ni2501,663,2469,152,122.1228,0,0.248964,24.8964
