交易日期,合约系列,隐含波动率,隐含波动率(%),varietyId
2025-11-28,pd2606,35.143734,35.1437,
2025-11-28,pd2608,36.963402,36.9634,
2025-11-28,pd2610,29.420687,29.4207,
2025-12-01,pd2606,35.13515,35.1352,
2025-12-01,pd2608,35.073615,35.0736,
2025-12-01,pd2610,34.094092,34.0941,
2025-12-02,pd2606,35.584019,35.584,
2025-12-02,pd2608,35.584019,35.584,
2025-12-02,pd2610,34.175466,34.1755,
2025-12-03,pd2610,35.680454,35.6805,
2025-12-03,pd2608,35.680454,35.6805,
2025-12-03,pd2606,35.700233,35.7002,
2025-12-04,pd2608,33.541856,33.5419,
2025-12-04,pd2610,33.541856,33.5419,
2025-12-04,pd2606,33.541856,33.5419,
2025-12-05,pd2606,33.885409,33.8854,
2025-12-05,pd2608,33.696705,33.6967,
2025-12-05,pd2610,33.696705,33.6967,
2025-12-08,pd2606,33.940987,33.941,
2025-12-08,pd2608,33.940987,33.941,
2025-12-08,pd2610,33.74844,33.7484,
2025-12-09,pd2608,33.814181,33.8142,
2025-12-09,pd2610,33.577526,33.5775,
2025-12-09,pd2606,33.814181,33.8142,
2025-12-10,pd2606,33.122088,33.1221,
2025-12-10,pd2608,33.122088,33.1221,
2025-12-10,pd2610,33.656868,33.6569,
2025-12-11,pd2606,33.813213,33.8132,
2025-12-11,pd2610,33.813213,33.8132,
2025-12-11,pd2608,33.813213,33.8132,
2025-12-12,pd2606,34.205699,34.2057,
2025-12-12,pd2608,34.205699,34.2057,
2025-12-12,pd2610,34.205699,34.2057,
2025-12-15,pd2606,37.038102,37.0381,
2025-12-15,pd2608,39.206892,39.2069,
2025-12-15,pd2610,39.206892,39.2069,
2025-12-16,pd2610,37.934727,37.9347,
2025-12-16,pd2606,37.93033,37.9303,
2025-12-16,pd2608,37.934727,37.9347,
2025-12-17,pd2606,39.679222,39.6792,
2025-12-17,pd2612,36.928015,36.928,
2025-12-17,pd2608,39.679222,39.6792,
2025-12-17,pd2610,36.928015,36.928,
2025-12-18,pd2610,35.187758,35.1878,
2025-12-18,pd2612,35.187758,35.1878,
2025-12-18,pd2606,42.056731,42.0567,
2025-12-18,pd2608,35.325817,35.3258,
2025-12-19,pd2606,46.311535,46.3115,
2025-12-19,pd2608,50.847251,50.8473,
2025-12-19,pd2612,34.471973,34.472,
2025-12-19,pd2610,34.471973,34.472,
2025-12-22,pd2608,48.978424,48.9784,
2025-12-22,pd2606,50.644404,50.6444,
2025-12-22,pd2612,48.978424,48.9784,
2025-12-22,pd2610,48.978424,48.9784,
2025-12-23,pd2606,53.336741,53.3367,
2025-12-23,pd2608,45.394506,45.3945,
2025-12-23,pd2612,45.394506,45.3945,
2025-12-23,pd2610,45.394506,45.3945,
2025-12-24,pd2608,57.254665,57.2547,
2025-12-24,pd2612,57.254665,57.2547,
2025-12-24,pd2606,58.296744,58.2967,
2025-12-24,pd2610,57.254665,57.2547,
2025-12-25,pd2608,50.362956,50.363,
2025-12-25,pd2606,55.331535,55.3315,
2025-12-25,pd2612,50.362956,50.363,
2025-12-25,pd2610,50.362956,50.363,
2025-12-26,pd2606,60.478774,60.4788,
2025-12-26,pd2612,62.687468,62.6875,
2025-12-26,pd2608,62.687468,62.6875,
2025-12-26,pd2610,62.687468,62.6875,
2025-12-29,pd2606,62.572803,62.5728,
2025-12-29,pd2608,55.948925,55.9489,
2025-12-29,pd2612,55.948925,55.9489,
2025-12-29,pd2610,55.948925,55.9489,
2025-12-30,pd2606,57.150225,57.1502,
2025-12-30,pd2608,70.415962,70.416,
2025-12-30,pd2610,70.415962,70.416,
2025-12-30,pd2612,70.415962,70.416,
2025-12-31,pd2612,64.710965,64.711,
2025-12-31,pd2608,64.710965,64.711,
2025-12-31,pd2606,63.202917,63.2029,
2025-12-31,pd2610,64.710965,64.711,
2026-01-05,pd2612,50.549735,50.5497,
2026-01-05,pd2610,50.549735,50.5497,
2026-01-05,pd2606,65.487362,65.4874,
2026-01-05,pd2608,50.549735,50.5497,
2026-01-06,pd2612,50.109955,50.11,
2026-01-06,pd2606,63.658736,63.6587,
2026-01-06,pd2608,63.658736,63.6587,
2026-01-06,pd2610,50.109955,50.11,
2026-01-07,pd2606,63.349576,63.3496,
2026-01-07,pd2608,51.067268,51.0673,
2026-01-07,pd2612,51.067268,51.0673,
2026-01-07,pd2610,51.067268,51.0673,
2026-01-08,pd2606,63.333313,63.3333,
2026-01-08,pd2610,63.333313,63.3333,
2026-01-08,pd2612,63.333313,63.3333,
2026-01-08,pd2608,63.333313,63.3333,
2026-01-09,pd2610,64.600798,64.6008,
2026-01-09,pd2608,64.600798,64.6008,
2026-01-09,pd2606,64.600798,64.6008,
2026-01-09,pd2612,64.600798,64.6008,
2026-01-12,pd2606,65.344643,65.3446,
2026-01-12,pd2610,65.344643,65.3446,
2026-01-12,pd2612,65.344643,65.3446,
2026-01-12,pd2608,65.344643,65.3446,
2026-01-13,pd2606,66.473893,66.4739,
2026-01-13,pd2610,66.473893,66.4739,
2026-01-13,pd2608,66.473893,66.4739,
2026-01-13,pd2612,66.473893,66.4739,
2026-01-14,pd2606,69.100979,69.101,
2026-01-14,pd2608,69.100979,69.101,
2026-01-14,pd2612,69.100979,69.101,
2026-01-14,pd2610,69.100979,69.101,
2026-01-15,pd2606,67.399051,67.3991,
2026-01-15,pd2608,61.442425,61.4424,
2026-01-15,pd2610,61.442425,61.4424,
2026-01-15,pd2612,61.442425,61.4424,
2026-01-16,pd2608,64.878124,64.8781,
2026-01-16,pd2606,64.878124,64.8781,
2026-01-16,pd2610,64.878124,64.8781,
2026-01-16,pd2612,64.878124,64.8781,
2026-01-19,pd2612,85.295898,85.2959,
2026-01-19,pd2610,85.295898,85.2959,
2026-01-19,pd2608,85.295898,85.2959,
2026-01-19,pd2606,62.831854,62.8319,
2026-01-20,pd2606,62.35713,62.3571,
2026-01-20,pd2610,105.974655,105.9747,
2026-01-20,pd2608,105.974655,105.9747,
2026-01-20,pd2612,105.974655,105.9747,
2026-01-21,pd2606,61.760319,61.7603,
2026-01-21,pd2612,61.760319,61.7603,
2026-01-21,pd2608,61.760319,61.7603,
2026-01-21,pd2610,61.760319,61.7603,
2026-01-22,pd2608,60.402166,60.4022,
2026-01-22,pd2612,60.402166,60.4022,
2026-01-22,pd2610,60.402166,60.4022,
2026-01-22,pd2606,60.402166,60.4022,
2026-01-23,pd2608,62.191441,62.1914,
2026-01-23,pd2612,62.191441,62.1914,
2026-01-23,pd2610,62.191441,62.1914,
2026-01-23,pd2606,62.191441,62.1914,
2026-01-26,pd2612,72.284288,72.2843,
2026-01-26,pd2606,72.284288,72.2843,
2026-01-26,pd2608,72.284288,72.2843,
