交易日期,合约系列,隐含波动率,隐含波动率(%),varietyId
2024-12-27,ps2506,21.486217,21.4862,
2024-12-27,ps2507,21.616732,21.6167,
2024-12-27,ps2508,21.616732,21.6167,
2024-12-27,ps2509,22.572723,22.5727,
2024-12-27,ps2510,22.572723,22.5727,
2024-12-27,ps2511,21.782769,21.7828,
2024-12-27,ps2512,21.782769,21.7828,
2024-12-30,ps2509,20.613451,20.6135,
2024-12-30,ps2512,21.359512,21.3595,
2024-12-30,ps2507,20.772799,20.7728,
2024-12-30,ps2511,22.457111,22.4571,
2024-12-30,ps2506,20.733035,20.733,
2024-12-30,ps2508,21.067751,21.0678,
2024-12-30,ps2510,21.723959,21.724,
2024-12-31,ps2506,20.129198,20.1292,
2024-12-31,ps2507,19.746217,19.7462,
2024-12-31,ps2508,19.643999,19.644,
2024-12-31,ps2509,19.985623,19.9856,
2024-12-31,ps2510,20.160423,20.1604,
2024-12-31,ps2511,19.621517,19.6215,
2024-12-31,ps2512,19.863748,19.8637,
2025-01-02,ps2507,19.42073,19.4207,
2025-01-02,ps2511,18.819136,18.8191,
2025-01-02,ps2510,19.563271,19.5633,
2025-01-02,ps2506,19.969295,19.9693,
2025-01-02,ps2508,19.42073,19.4207,
2025-01-02,ps2512,19.066138,19.0661,
2025-01-02,ps2509,19.105961,19.106,
2025-01-03,ps2511,20.260927,20.2609,
2025-01-03,ps2510,19.331904,19.3319,
2025-01-03,ps2508,18.966576,18.9666,
2025-01-03,ps2509,19.331904,19.3319,
2025-01-03,ps2507,18.966576,18.9666,
2025-01-03,ps2506,19.166623,19.1666,
2025-01-03,ps2512,20.260927,20.2609,
2025-01-06,ps2506,20.534067,20.5341,
2025-01-06,ps2507,20.340743,20.3407,
2025-01-06,ps2508,19.764135,19.7641,
2025-01-06,ps2509,20.122393,20.1224,
2025-01-06,ps2510,20.019332,20.0193,
2025-01-06,ps2511,20.812305,20.8123,
2025-01-06,ps2512,19.53362,19.5336,
2025-01-07,ps2511,19.993672,19.9937,
2025-01-07,ps2509,20.311109,20.3111,
2025-01-07,ps2507,20.758815,20.7588,
2025-01-07,ps2512,18.992878,18.9929,
2025-01-07,ps2508,20.758815,20.7588,
2025-01-07,ps2506,21.006501,21.0065,
2025-01-07,ps2510,20.907752,20.9078,
2025-01-08,ps2509,20.142542,20.1425,
2025-01-08,ps2510,20.142542,20.1425,
2025-01-08,ps2506,19.706724,19.7067,
2025-01-08,ps2512,19.742343,19.7423,
2025-01-08,ps2507,19.629383,19.6294,
2025-01-08,ps2508,19.629383,19.6294,
2025-01-08,ps2511,19.965706,19.9657,
2025-01-09,ps2509,20.570789,20.5708,
2025-01-09,ps2510,21.06119,21.0612,
2025-01-09,ps2511,20.414027,20.414,
2025-01-09,ps2506,20.134248,20.1342,
2025-01-09,ps2507,19.731389,19.7314,
2025-01-09,ps2508,20.570789,20.5708,
2025-01-09,ps2512,19.503985,19.504,
2025-01-10,ps2509,21.543106,21.5431,
2025-01-10,ps2510,21.39943,21.3994,
2025-01-10,ps2506,20.077018,20.077,
2025-01-10,ps2512,19.648045,19.648,
2025-01-10,ps2507,20.884585,20.8846,
2025-01-10,ps2508,20.884585,20.8846,
2025-01-10,ps2511,20.967166,20.9672,
2025-01-13,ps2506,20.11702,20.117,
2025-01-13,ps2507,19.68658,19.6866,
2025-01-13,ps2508,20.50761,20.5076,
2025-01-13,ps2509,20.702812,20.7028,
2025-01-13,ps2510,20.702812,20.7028,
2025-01-13,ps2511,19.830708,19.8307,
2025-01-13,ps2512,19.308147,19.3081,
2025-01-14,ps2507,19.883682,19.8837,
2025-01-14,ps2512,19.093172,19.0932,
2025-01-14,ps2510,19.580923,19.5809,
2025-01-14,ps2506,20.38227,20.3823,
2025-01-14,ps2508,19.521704,19.5217,
2025-01-14,ps2509,19.521704,19.5217,
2025-01-14,ps2511,19.580923,19.5809,
2025-01-15,ps2509,20.988014,20.988,
2025-01-15,ps2510,20.988014,20.988,
2025-01-15,ps2511,19.638545,19.6385,
2025-01-15,ps2506,21.134917,21.1349,
2025-01-15,ps2507,20.380167,20.3802,
2025-01-15,ps2508,20.988014,20.988,
2025-01-15,ps2512,19.638545,19.6385,
2025-01-16,ps2511,19.666103,19.6661,
2025-01-16,ps2510,19.666103,19.6661,
2025-01-16,ps2508,20.680039,20.68,
2025-01-16,ps2509,20.680039,20.68,
2025-01-16,ps2506,20.985521,20.9855,
2025-01-16,ps2507,20.680039,20.68,
2025-01-16,ps2512,19.526232,19.5262,
2025-01-17,ps2506,22.063466,22.0635,
2025-01-17,ps2507,21.428845,21.4288,
2025-01-17,ps2508,21.342052,21.3421,
2025-01-17,ps2509,20.663423,20.6634,
2025-01-17,ps2510,20.493069,20.4931,
2025-01-17,ps2511,20.493069,20.4931,
2025-01-17,ps2512,19.779665,19.7797,
2025-01-20,ps2509,21.736229,21.7362,
2025-01-20,ps2512,19.034684,19.0347,
2025-01-20,ps2507,20.986222,20.9862,
2025-01-20,ps2511,19.034684,19.0347,
2025-01-20,ps2506,22.233288,22.2333,
2025-01-20,ps2508,22.015455,22.0155,
2025-01-20,ps2510,21.736229,21.7362,
2025-01-21,ps2506,22.079235,22.0792,
2025-01-21,ps2507,20.793355,20.7934,
2025-01-21,ps2508,20.793355,20.7934,
2025-01-21,ps2509,21.733558,21.7336,
2025-01-21,ps2510,21.570055,21.5701,
2025-01-21,ps2511,19.728691,19.7287,
2025-01-21,ps2512,18.990412,18.9904,
2025-01-21,ps2601,19.763634,19.7636,
2025-01-22,ps2512,21.241701,21.2417,
2025-01-22,ps2510,21.241701,21.2417,
2025-01-22,ps2511,21.241701,21.2417,
2025-01-22,ps2601,21.103273,21.1033,
2025-01-22,ps2509,21.265576,21.2656,
2025-01-22,ps2506,21.900982,21.901,
2025-01-22,ps2508,21.265576,21.2656,
2025-01-22,ps2507,21.265576,21.2656,
2025-01-23,ps2506,21.778832,21.7788,
2025-01-23,ps2507,20.483546,20.4835,
2025-01-23,ps2508,20.138058,20.1381,
2025-01-23,ps2509,20.412767,20.4128,
2025-01-23,ps2510,20.912955,20.913,
2025-01-23,ps2511,20.509996,20.51,
2025-01-23,ps2512,20.013543,20.0135,
2025-01-23,ps2601,21.761634,21.7616,
2025-01-24,ps2510,21.568982,21.569,
2025-01-24,ps2512,20.321574,20.3216,
2025-01-24,ps2511,20.616963,20.617,
2025-01-24,ps2601,20.321574,20.3216,
2025-01-24,ps2509,21.568982,21.569,
2025-01-24,ps2508,22.544868,22.5449,
2025-01-24,ps2507,22.544868,22.5449,
2025-01-24,ps2506,21.098466,21.0985,
2025-01-27,ps2512,21.747693,21.7477,
2025-01-27,ps2601,21.747693,21.7477,
2025-01-27,ps2510,20.098438,20.0984,
2025-01-27,ps2511,20.098438,20.0984,
2025-01-27,ps2508,20.417386,20.4174,
2025-01-27,ps2509,20.417386,20.4174,
2025-01-27,ps2506,21.201162,21.2012,
2025-01-27,ps2507,21.201162,21.2012,
2025-02-05,ps2506,21.599116,21.5991,
2025-02-05,ps2507,22.697296,22.6973,
2025-02-05,ps2508,22.697296,22.6973,
2025-02-05,ps2509,20.938274,20.9383,
2025-02-05,ps2510,20.938274,20.9383,
2025-02-05,ps2511,20.638224,20.6382,
2025-02-05,ps2512,20.638224,20.6382,
2025-02-05,ps2601,21.192819,21.1928,
2025-02-06,ps2510,20.148444,20.1484,
2025-02-06,ps2506,21.741538,21.7415,
2025-02-06,ps2512,18.982343,18.9823,
2025-02-06,ps2511,19.837727,19.8377,
2025-02-06,ps2601,19.137968,19.138,
2025-02-06,ps2509,20.148444,20.1484,
2025-02-06,ps2508,23.125568,23.1256,
2025-02-06,ps2507,23.125568,23.1256,
2025-02-07,ps2601,20.766647,20.7666,
2025-02-07,ps2510,21.613037,21.613,
2025-02-07,ps2512,18.947383,18.9474,
2025-02-07,ps2511,18.947383,18.9474,
2025-02-07,ps2508,21.613037,21.613,
2025-02-07,ps2506,21.245125,21.2451,
2025-02-07,ps2509,21.613037,21.613,
2025-02-07,ps2507,22.025264,22.0253,
2025-02-10,ps2512,18.438936,18.4389,
2025-02-10,ps2511,20.636236,20.6362,
2025-02-10,ps2510,21.185699,21.1857,
2025-02-10,ps2601,20.112951,20.113,
2025-02-10,ps2508,19.010723,19.0107,
2025-02-10,ps2507,20.928377,20.9284,
2025-02-10,ps2506,20.928377,20.9284,
2025-02-10,ps2509,21.185699,21.1857,
2025-02-11,ps2506,20.910349,20.9103,
2025-02-11,ps2507,20.910349,20.9103,
2025-02-11,ps2508,20.910349,20.9103,
2025-02-11,ps2509,20.910349,20.9103,
2025-02-11,ps2510,21.405837,21.4058,
2025-02-11,ps2511,21.405837,21.4058,
2025-02-11,ps2512,21.405837,21.4058,
2025-02-11,ps2601,20.472364,20.4724,
2025-02-12,ps2601,20.674561,20.6746,
2025-02-12,ps2511,19.745953,19.746,
2025-02-12,ps2510,19.745953,19.746,
2025-02-12,ps2512,19.745953,19.746,
2025-02-12,ps2508,19.619715,19.6197,
2025-02-12,ps2506,21.02902,21.029,
2025-02-12,ps2509,19.619715,19.6197,
2025-02-12,ps2507,19.619715,19.6197,
2025-02-13,ps2512,19.522478,19.5225,
2025-02-13,ps2511,19.522478,19.5225,
2025-02-13,ps2510,19.522478,19.5225,
2025-02-13,ps2601,20.541539,20.5415,
2025-02-13,ps2508,19.392518,19.3925,
2025-02-13,ps2507,19.392518,19.3925,
2025-02-13,ps2506,20.433862,20.4339,
2025-02-13,ps2509,19.392518,19.3925,
2025-02-14,ps2506,20.604166,20.6042,
2025-02-14,ps2507,20.047867,20.0479,
2025-02-14,ps2508,20.047867,20.0479,
2025-02-14,ps2509,20.047867,20.0479,
2025-02-14,ps2510,19.671042,19.671,
2025-02-14,ps2511,19.671042,19.671,
2025-02-14,ps2512,19.671042,19.671,
2025-02-14,ps2601,19.671042,19.671,
2025-02-17,ps2512,20.619798,20.6198,
2025-02-17,ps2511,18.724461,18.7245,
2025-02-17,ps2601,20.619798,20.6198,
2025-02-17,ps2510,19.708091,19.7081,
2025-02-17,ps2509,18.864473,18.8645,
2025-02-17,ps2507,19.463594,19.4636,
2025-02-17,ps2506,20.060426,20.0604,
2025-02-17,ps2508,18.864473,18.8645,
2025-02-18,ps2512,20.941304,20.9413,
2025-02-18,ps2511,20.514732,20.5147,
2025-02-18,ps2510,20.514732,20.5147,
2025-02-18,ps2601,20.465846,20.4658,
2025-02-18,ps2508,18.860956,18.861,
2025-02-18,ps2507,18.860956,18.861,
2025-02-18,ps2506,19.46714,19.4671,
2025-02-18,ps2509,18.860956,18.861,
2025-02-19,ps2506,18.51519,18.5152,
2025-02-19,ps2507,18.946861,18.9469,
2025-02-19,ps2508,19.566915,19.5669,
2025-02-19,ps2509,19.931678,19.9317,
2025-02-19,ps2510,18.001556,18.0016,
2025-02-19,ps2511,18.109575,18.1096,
2025-02-19,ps2512,19.458519,19.4585,
2025-02-19,ps2601,19.864297,19.8643,
2025-02-20,ps2512,19.223583,19.2236,
2025-02-20,ps2511,16.944266,16.9443,
2025-02-20,ps2510,16.944266,16.9443,
2025-02-20,ps2601,19.901983,19.902,
2025-02-20,ps2508,17.453254,17.4533,
2025-02-20,ps2506,17.7831,17.7831,
2025-02-20,ps2507,20.653845,20.6538,
2025-02-20,ps2509,17.453254,17.4533,
2025-02-21,ps2512,18.581638,18.5816,
2025-02-21,ps2511,17.161195,17.1612,
2025-02-21,ps2510,19.789341,19.7893,
2025-02-21,ps2601,19.755444,19.7554,
2025-02-21,ps2508,19.498341,19.4983,
2025-02-21,ps2507,19.498341,19.4983,
2025-02-21,ps2506,17.554752,17.5548,
2025-02-21,ps2509,19.789341,19.7893,
2025-02-24,ps2506,17.659608,17.6596,
2025-02-24,ps2507,18.429695,18.4297,
2025-02-24,ps2508,18.429695,18.4297,
2025-02-24,ps2509,19.399799,19.3998,
2025-02-24,ps2510,19.226311,19.2263,
2025-02-24,ps2511,16.653751,16.6538,
2025-02-24,ps2512,18.678381,18.6784,
2025-02-24,ps2601,19.24181,19.2418,
2025-02-25,ps2512,16.581126,16.5811,
2025-02-25,ps2511,16.581126,16.5811,
2025-02-25,ps2510,18.780061,18.7801,
2025-02-25,ps2601,16.581126,16.5811,
2025-02-25,ps2508,18.223728,18.2237,
2025-02-25,ps2506,17.637761,17.6378,
2025-02-25,ps2507,18.223728,18.2237,
2025-02-25,ps2509,18.780061,18.7801,
2025-02-26,ps2506,18.551376,18.5514,
2025-02-26,ps2507,19.209353,19.2094,
2025-02-26,ps2508,19.209353,19.2094,
2025-02-26,ps2509,18.610571,18.6106,
2025-02-26,ps2510,18.610571,18.6106,
2025-02-26,ps2511,17.122211,17.1222,
