交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2022-12-26,ag2303                        ,2804,1864,1864,297.48375,0,0.259596,25.9596
2022-12-26,ag2304                        ,508,400,400,111.91275,0,0.271293,27.1293
2022-12-26,ag2306                        ,613,503,503,174.432,0,0.27751,27.751
2022-12-26,小计,3925,2767,2767,583.8285,0,,
2022-12-27,ag2303                        ,9849,4816,2952,1052.87175,0,0.253303,25.3303
2022-12-27,ag2304                        ,3573,2000,1600,731.2215,0,0.253755,25.3755
2022-12-27,ag2306                        ,7536,4078,3575,2259.2625,0,0.255543,25.5543
2022-12-27,小计,20958,10894,8127,4043.35575,0,,
2022-12-28,ag2303                        ,6740,6103,1287,714.444,0,0.249817,24.9817
2022-12-28,ag2304                        ,2838,2249,249,372.14925,0,0.251198,25.1198
2022-12-28,ag2306                        ,4437,4939,861,1175.4285,0,0.260163,26.0163
2022-12-28,小计,14015,13291,2397,2262.02175,0,,
2022-12-29,ag2304                        ,1995,2639,390,311.544,0,0.248896,24.8896
2022-12-29,ag2303                        ,11598,9066,2963,1460.48175,0,0.243852,24.3852
2022-12-29,小计,16631,17360,4069,2572.9695,0,,
2022-12-29,ag2306                        ,3038,5655,716,800.94375,0,0.253945,25.3945
2022-12-30,ag2303                        ,17075,10909,1843,1793.50875,0,0.24946,24.946
2022-12-30,ag2304                        ,2712,2330,-309,438.91125,0,0.252443,25.2443
2022-12-30,ag2306                        ,2611,6038,383,672.792,0,0.262642,26.2642
2022-12-30,小计,22398,19277,1917,2905.212,0,,
2023-01-03,ag2303                        ,9890,11890,981,1286.604,0,0.248206,24.8206
2023-01-03,ag2304                        ,677,2435,105,195.62175,0,0.251696,25.1696
2023-01-03,ag2306                        ,2146,6566,528,606.33525,0,0.249954,24.9954
2023-01-03,小计,12713,20891,1614,2088.561,0,,
2023-01-04,ag2304                        ,2688,3106,671,359.87325,0,0.251152,25.1152
2023-01-04,ag2303                        ,12977,12957,1067,1513.5075,0,0.247988,24.7988
2023-01-04,小计,17403,22866,1975,2355.7395,0,,
2023-01-04,ag2306                        ,1738,6803,237,482.35875,0,0.246081,24.6081
2023-01-05,ag2303                        ,21715,14763,1806,2455.9155,0,0.244043,24.4043
2023-01-05,ag2304                        ,3130,4188,1082,598.12725,0,0.24324,24.324
2023-01-05,ag2306                        ,3040,7440,637,896.523,0,0.238335,23.8335
2023-01-05,小计,27885,26391,3525,3950.56575,0,,
2023-01-06,小计,33833,30307,3916,4956.73875,0,,
2023-01-06,ag2303                        ,24227,17735,2972,2653.48875,0,0.230421,23.0421
2023-01-06,ag2304                        ,3101,4033,-155,685.404,0,0.236288,23.6288
2023-01-06,ag2306                        ,6464,8503,1063,1602.9945,0,0.237302,23.7302
2023-01-06,ag2308                        ,41,36,36,14.8515,0,0.235185,23.5185
2023-01-09,ag2303                        ,25143,17917,182,2520.53025,0,0.235921,23.5921
2023-01-09,ag2304                        ,2663,4776,743,448.09275,0,0.239018,23.9018
2023-01-09,ag2306                        ,5023,9693,1190,1287.66075,0,0.23488,23.488
2023-01-09,ag2308                        ,28,57,21,5.064,0,0.230409,23.0409
2023-01-09,小计,32857,32443,2136,4261.34775,0,,
2023-01-10,ag2306                        ,2886,10049,356,554.253,0,0.241801,24.1801
2023-01-10,ag2308                        ,41,89,32,8.766,0,0.244304,24.4304
2023-01-10,ag2303                        ,17775,20280,2363,2178.43125,0,0.236816,23.6816
2023-01-10,ag2304                        ,2295,4934,158,509.898,0,0.238079,23.8079
2023-01-10,小计,22997,35352,2909,3251.34825,0,,
2023-01-11,ag2303                        ,17136,21943,1663,1875.531,0,0.232968,23.2968
2023-01-11,ag2304                        ,2060,5382,448,326.148,0,0.234941,23.4941
2023-01-11,ag2306                        ,2430,10588,539,452.37825,0,0.240111,24.0111
2023-01-11,ag2308                        ,24,99,10,4.473,0,0.230025,23.0025
2023-01-11,小计,21650,38012,2660,2658.53025,0,,
2023-01-12,ag2303                        ,29842,23218,1275,2829.67425,0,0.237388,23.7388
2023-01-12,ag2304                        ,5898,6359,977,697.995,0,0.238518,23.8518
2023-01-12,ag2306                        ,10284,12961,2373,1565.20575,0,0.252959,25.2959
2023-01-12,ag2308                        ,41,125,26,12.86625,0,0.245466,24.5466
2023-01-12,小计,46065,42663,4651,5105.74125,0,,
2023-01-13,ag2303                        ,31385,23903,685,3058.776,0,0.242197,24.2197
2023-01-13,ag2304                        ,6973,7216,857,1147.01025,0,0.241671,24.1671
2023-01-13,ag2306                        ,5661,13707,746,1283.35425,0,0.253552,25.3552
2023-01-13,ag2308                        ,236,280,155,42.26175,0,0.253664,25.3664
2023-01-13,小计,44255,45106,2443,5531.40225,0,,
2023-01-16,ag2303                        ,42020,25201,1298,3832.8855,2,0.264953,26.4953
2023-01-16,ag2304                        ,6907,7491,275,954.9135,0,0.250944,25.0944
2023-01-16,ag2306                        ,7658,15413,1706,1710.429,0,0.258916,25.8916
2023-01-16,ag2308                        ,68,301,21,21.1335,0,0.242216,24.2216
2023-01-16,小计,56653,48406,3300,6519.3615,2,,
2023-01-17,ag2303                        ,22213,26153,952,1905.198,0,0.27635,27.635
2023-01-17,ag2304                        ,1636,7571,80,170.58225,0,0.261469,26.1469
2023-01-17,ag2306                        ,3022,15459,46,544.71,0,0.254998,25.4998
2023-01-17,ag2308                        ,7,299,-2,1.278,0,0.24521,24.521
2023-01-17,小计,26878,49482,1076,2621.76825,0,,
2023-01-18,ag2303                        ,31340,28275,2122,3220.8165,0,0.269069,26.9069
2023-01-18,ag2304                        ,4350,7380,-191,847.254,0,0.252478,25.2478
2023-01-18,ag2306                        ,7078,15992,533,1353.39825,0,0.25381,25.381
2023-01-18,ag2308                        ,10,305,6,1.6275,0,0.251923,25.1923
2023-01-18,小计,42778,51952,2470,5423.09625,0,,
2023-01-19,ag2303                        ,63284,33872,5597,5306.35275,0,0.278235,27.8235
2023-01-19,ag2304                        ,12700,7387,7,2064.25725,0,0.252558,25.2558
2023-01-19,ag2306                        ,10883,17000,1008,2549.21775,0,0.258166,25.8166
2023-01-19,ag2308                        ,79,345,40,14.838,0,0.258337,25.8337
2023-01-19,小计,86946,58604,6652,9934.66575,0,,
2023-01-20,ag2304                        ,9781,9307,1920,1121.46825,0,0.260043,26.0043
2023-01-20,ag2303                        ,57300,38164,4292,4297.04025,0,0.289944,28.9944
2023-01-20,ag2306                        ,11983,18066,1066,2438.42175,0,0.2675,26.75
2023-01-20,小计,79139,65909,7305,7882.48275,0,,
2023-01-20,ag2308                        ,75,372,27,25.5525,0,0.247297,24.7297
2023-01-30,ag2303                        ,25002,39452,1288,1352.517,0,0.28552,28.552
2023-01-30,ag2304                        ,5077,9904,597,669.37725,0,0.267518,26.7518
