交易日期,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,隐含波动率(%)
2020-08-10,zn2010                        ,4505,2188,2188,732.553,0.0,0.253323,25.3323
2020-08-10,zn2011                        ,288,222,222,54.7505,0.0,0.210373,21.0373
2020-08-11,zn2010                        ,2784,2901,713,474.364,0.0,0.251984,25.1984
2020-08-11,zn2011                        ,186,356,134,31.8545,0.0,0.223384,22.3384
2020-08-11,zn2012                        ,25,25,25,3.5125,0.0,0.222526,22.2526
2020-08-12,zn2010                        ,7004,4048,1147,1482.0955,0.0,0.247973,24.7973
2020-08-12,zn2011                        ,81,383,27,12.707,0.0,0.218413,21.8413
2020-08-12,zn2012                        ,2,24,-1,0.306,0.0,0.226452,22.6452
2020-08-13,zn2011                        ,14,387,4,3.2515,0.0,0.215043,21.5043
2020-08-13,zn2012                        ,0,24,0,0.0,0.0,0.215043,21.5043
2020-08-13,zn2010                        ,3014,4063,15,618.413,0.0,0.242103,24.2103
2020-08-14,zn2010                        ,3954,4494,431,604.5935,0.0,0.235408,23.5408
2020-08-14,zn2011                        ,44,422,35,12.844,0.0,0.198907,19.8907
2020-08-14,zn2012                        ,4,28,4,0.3955,0.0,0.210993,21.0993
2020-08-17,zn2010                        ,5554,4844,350,930.6195,0.0,0.248988,24.8988
2020-08-17,zn2011                        ,21,428,6,4.2055,0.0,0.216352,21.6352
2020-08-17,zn2012                        ,5,27,-1,2.924,0.0,0.252166,25.2166
2020-08-18,zn2012                        ,41,40,13,21.2805,0.0,0.230629,23.0629
2020-08-18,zn2010                        ,5263,5188,344,952.198,0.0,0.260369,26.0369
2020-08-18,zn2011                        ,757,682,254,154.7265,0.0,0.233614,23.3614
2020-08-19,zn2012                        ,1,41,1,0.0565,0.0,0.253773,25.3773
2020-08-19,zn2010                        ,3988,5767,579,798.686,0.0,0.260488,26.0488
2020-08-19,zn2011                        ,670,870,188,117.9805,0.0,0.234609,23.4609
2020-08-20,zn2010                        ,7180,6083,316,1471.516,0.0,0.269228,26.9228
2020-08-20,zn2011                        ,2593,1591,721,550.7355,0.0,0.22999,22.999
2020-08-20,zn2012                        ,8,47,6,2.791,0.0,0.238104,23.8104
2020-08-21,zn2010                        ,3020,6159,76,521.2015,0.0,0.245446,24.5446
2020-08-21,zn2011                        ,1627,1983,392,219.8975,0.0,0.229628,22.9628
2020-08-21,zn2012                        ,5,52,5,0.242,0.0,0.247888,24.7888
2020-08-24,zn2012                        ,30,67,15,4.456,0.0,0.221322,22.1322
2020-08-24,zn2011                        ,1351,2073,90,202.2565,0.0,0.216162,21.6162
2020-08-24,zn2010                        ,5070,6425,266,695.107,0.0,0.238644,23.8644
2020-08-25,zn2010                        ,3537,6486,61,462.0255,0.0,0.231382,23.1382
